FIPS,State,County,PopChangeRate1617,PopChangeRate1017,TotalPopEst2017,NetMigrationRate1017,NaturalChangeRate1017,Net_International_Migration_Rate_2010_2017,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed1LessThanHSNum,Ed5CollegePlusNum,Ed2HSDiplomaOnlyNum,TotalPop25Plus,ForeignBornAfricaNum,TotalPopACS,Ed3SomeCollegeNum,OwnHomeNum,Ed4AssocDegreeNum,ForeignBornAsiaNum,HH65PlusAloneNum,ForeignBornNum,FemaleHHNum,TotalHH,TotalOccHU,ForeignBornCentralSouthAmPct,ForeignBornMexNum,ForeignBornEuropeNum,ForeignBornCaribPct,NonEnglishHHNum,ForeignBornCaribNum,ForeignBornAfricaPct,ForeignBornCentralSouthAmNum,ForeignBornAsiaPct,TotalPop2010,LandAreaSQMiles2010,Age65AndOlderNum2010,Under18Num2010,Net_International_Migration_2000_2010,NetMigrationNum0010,NaturalChangeNum0010,TotalPopEst2016,TotalPopEst2015,NaturalChange1017,Net_International_Migration_2010_2017,TotalPopEst2014,TotalPopEst2010,TotalPopEst2013,TotalPopEst2012,TotalPopEst2011,NetMigration1017,TotalPopEstBase2010
00000,US,United States,0.72,5.30,325719178,2.28,3.02,2.28,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.40400694,1.493630273,3.586719605,4.464884392,12.68641302,27.323791,20.77749684,8.284711148,30.92758799,2.63,12.70110164,10.52845279,63.81868061,27437114,66887603,59093612,216271644,2037497,321004407,44935834,75833135,17917481,13113834,12510531,43027453,15092201,118825921,118825921,5.557107819,11513528,4794619,1.299268767,5305440,4170710,0.634725554,17838561,4.085250456,308745538,3531905.43,40267984,74181467,,,,323405935,321039839,9338302,7042455,318622525,309338421,316234505,313993272,311644280,7042455.00,308758105
01000,AL,Alabama,0.29,1.86,4874747,0.64,1.23,0.65,7.48,3.30,3.30,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.20,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.461841427,0.375259933,1.078220349,1.149407953,14.68148593,30.90214143,21.73582243,8.156075879,24.52447433,2.55,14.77684811,11.20841064,68.57437544,481059,803578,1012551,3276637,8245,4850771,712204,1273217,267245,52932,208106,167926,274361,1856695,1856695,1.596715244,52302,18203,0.137792528,21341,6684,0.16997298,77453,1.091207975,4779736,50645.33,657792,1132459,54447,147119,147019.5,4860545,4850858,58715,30999,4840037,4785579,4827660,4813946,4798649,30453.00,4780135
01001,AL,Autauga,0.41,1.38,55504,0.25,1.13,0.08,24.96,11.87,5.46,-0.010222394,91.80,26.78,12.00,77.25,17.58,0.86,0.40,2.40,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,2.113162294,0.337960608,0.506940911,0.750451221,12.29969802,33.63440977,21.47346084,7.628478929,24.96395244,2.59,11.40875843,11.38026028,73.2877363,4521,9176,12363,36757,0,55036,7893,15430,2804,467,2396,1163,2402,21054,21054,0.654117305,279,186,0.158078349,158,87,0,360,0.848535504,54571,594.44,6546,14613,-4.5,5224,2403.5,55278,54838,619,46,54864,54750,54695,54927,55199,135.00,54571
01003,AL,Baldwin,2.47,16.12,212628,15.18,0.94,0.61,29.80,26.17,3.32,1.584454727,114.65,22.99,16.77,83.50,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.248426436,0.741542093,0.716463415,0.901054733,9.786606256,27.80761002,22.04276265,9.620897484,30.74212359,2.63,9.426923936,12.84594066,72.85933826,13997,43968,39771,143022,145,203360,31526,55470,13760,1209,9780,6606,7177,76133,76133,1.26622738,1457,1508,0.440597954,686,896,0.071302124,2575,0.594512195,182265,1589.78,30568,41898,2239.5,36984,4686.5,207509,202863,1728,1121,199064,183110,194736,190048,186534,27790.00,182265
01005,AL,Barbour,-1.96,-7.54,25270,-7.16,-0.39,-0.17,-5.44,-4.80,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.70,12837,12820,107,60,1387,258,2.660203809,0.316781802,1.312926988,0.816015668,26.90680265,35.52674406,18.19464034,7.339698383,12.03211457,2.54,19.36677184,13.85050593,62.50680013,4960,2218,6549,18434,0,26201,3354,5745,1353,111,1273,697,1780,9191,9191,1.862524331,344,83,0.030533186,75,8,0,488,0.423647952,27457,884.88,3909,6015,530.5,-1393,664,25774,26264,-106,-47,26749,27332,26947,27175,27351,-1956.00,27457
01007,AL,Bibb,0.15,-0.89,22668,-1.27,0.38,0.50,10.03,6.43,2.10,0.341485462,36.81,22.70,12.68,75.02,21.92,0.10,0.28,1.77,0.89,8.32,9.60,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.023029229,0.035429584,0.159433127,0.563909774,17.86367362,43.87414087,19.79948294,5.239926855,13.22277571,2.97,14.87854251,10.56969346,75.36148062,2833,2097,6958,15859,0,22580,3140,5212,831,0,731,231,1029,6916,6916,0.952170062,36,8,0.035429584,39,8,0,215,0,22915,622.58,2906,5201,68,1280,417.5,22633,22561,87,115,22533,22872,22503,22658,22745,-291.00,22919
01009,AL,Blount,0.78,1.10,58013,0.21,0.89,0.49,12.34,12.27,3.14,2.07701489,88.90,24.61,14.72,88.89,1.26,0.20,0.50,8.07,1.19,8.41,21.07,64.29,34.43,70.20,31.79,50952,724,115,285,4626,684,4.545060433,0.270518668,3.560095028,1.536974384,20.21532616,32.27359088,21.86447118,12.54464851,13.10196327,2.76,9.777670372,10.28999517,78.52102465,7980,5172,12740,39475,58,57667,8631,16246,4952,132,2129,2621,2023,20690,20690,3.766452217,2053,156,0.138727522,318,80,0.100577453,2172,0.228900411,57322,644.78,8439,14106,1061.5,6268.5,1606,57562,57590,513,282,57546,57381,57623,57595,57562,119.00,57324
01011,AL,Bullock,-1.26,-5.25,10309,-6.18,0.93,0.97,-6.83,-9.13,3.20,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10.00,-4.76,-45.95,141.30,4.88,2392,7637,20,20,777,86,1.832410765,0.171788509,0,2.207084469,28.64307984,36.58668836,17.03944693,4.310695405,13.42008947,2.74,27.19346049,12.45231608,70.02724796,2113,990,2699,7377,66,10478,1257,2570,318,37,457,192,998,3670,3670,0.21950754,0,18,0.458102691,81,48,0.629891201,23,0.353120825,10914,622.80,1469,2430,424,-1057.5,371,10441,10419,101,106,10673,10880,10549,10612,10675,-672.00,10911
01013,AL,Butler,-0.70,-5.34,19825,-4.54,-0.80,0.18,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,1.048395111,0.044718275,0.064593064,0.723404255,18.94970626,40.38544204,16.64994985,7.873620863,16.14128099,2.81,17.29078014,12.42553191,70.07092199,2645,2253,5637,13958,0,20126,2324,4940,1099,189,876,211,1219,7050,7050,0.064593064,13,9,0,51,0,0,13,0.939083772,20947,776.83,3489,5056,44,-1423,-52.5,19965,20141,-168,38,20327,20944,20372,20688,20880,-951.00,20946
01015,AL,Calhoun,-0.22,-3.16,114728,-2.84,-0.32,0.34,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.70,0.40,3.28,1.67,-0.36,16.66,32.80,12.41,122.08,82.70,87285,24177,830,480,3893,1975,2.614973123,0.470019995,0.876851299,0.827069336,16.78252612,32.21272555,25.75245331,7.382082938,17.87021209,2.49,16.72764363,11.21310894,69.39178252,13254,14113,25440,78975,114,115527,20338,31295,5830,913,5057,3021,7544,45099,45099,1.117487687,1013,543,0.068382283,373,79,0.098678231,1291,0.790291447,118572,605.87,16990,27126,794,1645,1800.5,114980,115505,-378,408,115941,118466,116482,117219,117785,-3360.00,118586
