"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	12	55504	Unreliable
	"Baldwin County, AL"	"01003"	39	212628	1.83
	"Blount County, AL"	"01009"	11	58013	Unreliable
	"Calhoun County, AL"	"01015"	29	114728	2.53
	"Covington County, AL"	"01039"	12	37092	Unreliable
	"Cullman County, AL"	"01043"	21	82755	2.54
	"DeKalb County, AL"	"01049"	20	71617	2.79
	"Elmore County, AL"	"01051"	14	81677	Unreliable
	"Escambia County, AL"	"01053"	12	37447	Unreliable
	"Etowah County, AL"	"01055"	15	102755	Unreliable
	"Houston County, AL"	"01069"	15	104346	Unreliable
	"Jackson County, AL"	"01071"	15	51909	Unreliable
	"Jefferson County, AL"	"01073"	109	659197	1.65
	"Lauderdale County, AL"	"01077"	12	92538	Unreliable
	"Lee County, AL"	"01081"	21	161604	1.30
	"Limestone County, AL"	"01083"	15	94402	Unreliable
	"Madison County, AL"	"01089"	57	361046	1.58
	"Marshall County, AL"	"01095"	17	95548	Unreliable
	"Mobile County, AL"	"01097"	64	413955	1.55
	"Montgomery County, AL"	"01101"	27	226646	1.19
	"Morgan County, AL"	"01103"	34	118818	2.86
	"Russell County, AL"	"01113"	11	57045	Unreliable
	"St. Clair County, AL"	"01115"	14	88199	Unreliable
	"Shelby County, AL"	"01117"	32	213605	1.50
	"Talladega County, AL"	"01121"	18	80065	Unreliable
	"Tuscaloosa County, AL"	"01125"	25	207811	1.20
	"Walker County, AL"	"01127"	20	64058	3.12
	"Anchorage Borough, AK"	"02020"	64	294356	2.17
	"Fairbanks North Star Borough, AK"	"02090"	26	99703	2.61
	"Juneau Borough, AK"	"02110"	10	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	13	58617	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	30	106532	2.82
	"Wade Hampton Census Area, AK"	"02270"	10	8202	Unreliable
	"Apache County, AZ"	"04001"	27	71606	3.77
	"Cochise County, AZ"	"04003"	37	124756	2.97
	"Coconino County, AZ"	"04005"	40	140776	2.84
	"Gila County, AZ"	"04007"	20	53501	3.74
	"Graham County, AZ"	"04009"	10	37466	Unreliable
	"La Paz County, AZ"	"04012"	13	20601	Unreliable
	"Maricopa County, AZ"	"04013"	678	4307033	1.57
	"Mohave County, AZ"	"04015"	68	207200	3.28
	"Navajo County, AZ"	"04017"	44	108956	4.04
	"Pima County, AZ"	"04019"	218	1022769	2.13
	"Pinal County, AZ"	"04021"	66	430237	1.53
	"Yavapai County, AZ"	"04025"	79	228168	3.46
	"Yuma County, AZ"	"04027"	22	207534	1.06
	"Benton County, AR"	"05007"	63	266300	2.37
	"Boone County, AR"	"05009"	13	37381	Unreliable
	"Craighead County, AR"	"05031"	18	107115	Unreliable
	"Crawford County, AR"	"05033"	15	62996	Unreliable
	"Faulkner County, AR"	"05045"	18	123654	Unreliable
	"Garland County, AR"	"05051"	33	98658	3.34
	"Greene County, AR"	"05055"	14	45053	Unreliable
	"Hot Spring County, AR"	"05059"	15	33574	Unreliable
	"Independence County, AR"	"05063"	11	37504	Unreliable
	"Logan County, AR"	"05083"	10	21722	Unreliable
	"Lonoke County, AR"	"05085"	18	72898	Unreliable
	"Marion County, AR"	"05089"	12	16428	Unreliable
	"Miller County, AR"	"05091"	15	43984	Unreliable
	"Pope County, AR"	"05115"	12	63835	Unreliable
	"Pulaski County, AR"	"05119"	67	393956	1.70
	"Saline County, AR"	"05125"	24	119323	2.01
	"Sebastian County, AR"	"05131"	24	128107	1.87
	"Washington County, AR"	"05143"	46	231996	1.98
	"White County, AR"	"05145"	15	79016	Unreliable
	"Alameda County, CA"	"06001"	143	1663190	0.86
	"Butte County, CA"	"06007"	42	229294	1.83
	"Calaveras County, CA"	"06009"	11	45670	Unreliable
	"Contra Costa County, CA"	"06013"	107	1147439	0.93
	"El Dorado County, CA"	"06017"	32	188987	1.69
	"Fresno County, CA"	"06019"	106	989255	1.07
	"Humboldt County, CA"	"06023"	22	136754	1.61
